get key == 0,value == 0 
get key == 1,value == 1 
get key == 18,value == 18 
get key == 25,value == 25 
get key == 5,value == 5 
get key == 49,value == 49 
get key == 72,value == 72 
get key == 12,value == 12 
get key == 9,value == 9 
get key == 10,value == 10 
get key == 11,value == 11 
get key == 2,value == 2 
get key == 90,value == 90 
get key == 13,value == 13 
get key == 126,value == 126 
get key == 15,value == 15 
get key == 119,value == 119 
get key == 17,value == 17 
get key == 158,value == 158 
get key == 26,value == 26 
get key == 21,value == 21 
get key == 22,value == 22 
get key == 187,value == 187 
get key == 196,value == 196 
get key == 207,value == 207 
get key == 37,value == 37 
get key == 225,value == 225 
get key == 235,value == 235 
